MARIIEN DE SYM, MARIEN DE SYM
JEHAN LE CARLIER, JEHAN LE CORDIER, JEHAN LE CAUDRELIER
JEHAN LE PIGNIER, JEHAN LE PATINIER, JEHAN LE LINNIER
WILLIAUME RAMET, WILLIAUME MALET
PIERON LE RAMET, PIERON RAMET
ROBERT D'ESTREES, ROBIERT D'ESTREES, ROBIERS D'ESTREES
ROBIERT CIERFUEL, ROBIERT CERFUEL
BAUDE D'ESTREES, BAUDES D'ESTREES
JEHAN PILATE, JEHAN PIKETE
MARIIEN LE TOILIERE, MARIEN LE TOILIERE
JEHAN DE FRANCHE, JEHANS DE FRANCHE, JEHAN DE FRANCE
HENNIN POURCELET, HENNIN PORCELET, HENRI POURCELET
EUBERI LE LEU, EUBERT LE LEU
ROBIERT D'ESTREES, ROBIERS D'ESTREES
MARIIEN LOUVRI, MARIEN LOUVRI
MARIIEN LE SOURDE, MARIEN LE SOURDE
PIERON LANGEVILLE, PIERON ALONGEVILE
SIMON MALET, SYMON MALET
RICHART POURCIEL, RICHARD POURCIEL
JEHAN DE SYM, JEHAN DE LES
WILLIAUME DE BARLET, WILLIAUME DE HARNES
COLART LE BOURGOIS, COLART BOURGOIS
SAINTAIN LE CHEVALIERE, SAINTAIN CHEVALIERE
WAUBIERT BAUDENNE, WAUBERT BAUDENNE, WAUBIERT BAUDENE
WAUBERT BAUDENNE, WAUBIERT BAUDENE
RICOUART BOFFLIN, RICHOUART BOFFLIN
JAKEMON PAINMOULLIET, JAKEMON PAINMOULLIÉ
MARIIEN COSTIERE, MARIEN COSTIERE
GILLION DE CANFIN, GILLION DE CARVIN
JAKEMON POURCIEL, JAKEMON PORCIEL
ROBIERT BOINEBROKE, ROBIERT BOINE BROKE
WILLIAUME JOLIT, WILLIAUME LE JOLIT
WERIN LE FORNIER, WERIN LE FOURNIER
SAINT ELOIT, SAINT ELOYT
MARIEN PATROULLE, MARIIEN PATROULLE
JEHAN DE LE RIUE, JEHAN DE LE VILE
JEHAN DE BAUVIN, JEHAN DE CARVIN
JEHAN DE CLARI, JEHAN DE CARVIN
JAKEMON LE LEU, JAKEMON DE LENS
JEHAN D'ARRAS, JEHANS D'ARRAS
MARIIEN DE LENS, MARIEN DE LENS, MARTIN DE LENS
JAKEMON BARDE, JAKEMON BARAT
MARIEN MOUTON, MARIIEN MOUTON
MARIEN GARBET, MARIEN GARBETE
JEHAN MAUPARENT, JEHAN PARENT
MARGOT SAUVEE, MARGOT CAUVETE
JEHAN LE SOHIER, JEHAN LE POTIER
JAKEMON PAINMOLLIÉ, JAKEMON PAINMOULLIÉ
JAKEMON PORCIEL, JAKEMON D'ORCHIES
MARIEN LE CANDELIERE, MARIEN LE CAUDRELIERE
JEHANS DE FRANCHE, JEHAN DE FRANCE
MARIEN LE RICHART, MARIEN LE RICHARDE
PIERON DE HASNON, PIERES DE HASNON
HIELOTAIN SAUVEE, HIELOTAIN SAUVE
MARIIEN FLORENT, MARIEN FLORENT
MARIEN DE LENS, MARTIN DE LENS
PIERON LE PATINIER, PIERON LE PINIER
JEHAN BOINE BROKE, JEHAN BOINEBROKE
JAKEMON BELIN, JAKEMON BULETIN
JEHAN LE ROI, JEHAN LE NOIR
JEHAN DE WASIERS, JEHAN DE WARLERS
ROBIERT D'ASTICES, ROBIERT D'ASTRIKES
JAKEMON DE CANTIN, JAKEMON DE CARVIN
THIEBAUT DE HENNIN, TIEBAUT DE HENNIN
LE MONNE, LE MONE
ERNAUT DE LE HAIE, IERNAUT DE LE HAIE
WILLART DE BAUVIN, WILLIART DE BAUVIN
JEHAN PLANÇON, JEHAN PINÇON
THUMAS ESPINEKOKE, THUMAS ESPINCKOKE
JAKEMON DE WARLAING, JAKEMON DE WARLAIN
JEHAN RAINNUIT, JEHAN RAINUIT
JEHAN LE KESNE, JEHAN LE KIEN
MARGRITAIN LE CATE, MAGRITAIN LE CATE
WILLAUME LE WAUKIER, WILLIAUME LE WAUKIER
